Make,Model,,,,,,,
AMW,1618,,,,,,,
AMW,2516,,,,,,,
AMW,2518,,,,,,,
FORCE-MOTORS,TRAX-CRUISER,,,,,,,
FORCE-MOTORS,TRAX-CRUISER-CLASSIC-13,,,,,,,
FORCE-MOTORS,TRAX-CRUISER-CLASSIC-9,,,,,,,
FORCE-MOTORS,TRAX-GAMA-DLX,,,,,,,
FORCE-MOTORS,TRAX-KARGO-KING,,,,,,,
FORCE-MOTORS,TRAX-TOOFAN--CLASSIC,,,,,,,
FORCE-MOTORS,TRIP-STD,,,,,,,
FORCE-MOTORS,TRUMP-15,,,,,,,
FORCE-MOTORS,TRUMP-40,,,,,,,
ISUZU,D-MAX,,,,,,,
ISUZU,IS12T,,,,,,,
ISUZU,IS12TE,,,,,,,
ISUZU,LT,,,,,,,
ISUZU,NQR,,,,,,,
MAHINDRA,ALFA,,,,,,,
MAHINDRA,ALFA-PLUS,,,,,,,
MAHINDRA,BLAZO-25,,,,,,,
MAHINDRA,BLAZO-31,,,,,,,
MAHINDRA,BLAZO-35,,,,,,,
MAHINDRA,BLAZO-37,,,,,,,
MAHINDRA,BLAZO-40,,,,,,,
MAHINDRA,BLAZO-49,,,,,,,
MAHINDRA,BOLERO-CAMPER-2WD,,,,,,,
MAHINDRA,BOLERO-CAMPER-GOLD,,,,,,,
MAHINDRA,BOLERO-DI,,,,,,,
MAHINDRA,BOLERO-MAXI-TRUCK,,,,,,,
MAHINDRA,BOLERO-MAXITRUCK-PLUS-BS3,,,,,,,
MAHINDRA,BOLERO-PICK-UP,,,,,,,
MAHINDRA,CABKING-3200-DI,,,,,,,
MAHINDRA,CHAMPION,,,,,,,
MAHINDRA,CHAMPION-ALFA,,,,,,,
MAHINDRA,CHAMPION-PASSENGER-CNG,,,,,,,
MAHINDRA,COMMANDER-650-DI-2WD-10-STR,,,,,,,
MAHINDRA,DI3200,,,,,,,
MAHINDRA,GENIO-DC,,,,,,,
MAHINDRA,GIO,,,,,,,
MAHINDRA,IMPERIO,,,,,,,
MAHINDRA,JEETO,,,,,,,
MAHINDRA,LOADKING,,,,,,,
MAHINDRA,MARSHAL-750-2WD-3DR,,,,,,,
MAHINDRA,MAXX,,,,,,,
MAHINDRA,MAXX-DI-2WD,,,,,,,
MAHINDRA,MAXX-FESTARA,,,,,,,
MAHINDRA,MAXX-MAXI-TRUCK,,,,,,,
MAHINDRA,MAXXIMO,,,,,,,
MAHINDRA,MAXXIMO-MINI-VAN-SCHOOL,,,,,,,
MAHINDRA,MAXXIMO-PLUS-BS3,,,,,,,
MAHINDRA,MN25,,,,,,,
MAHINDRA,MN31,,,,,,,
MAHINDRA,MN35,,,,,,,
MAHINDRA,MN40,,,,,,,
MAHINDRA,SINGLE-CAB-4WD,,,,,,,
MAHINDRA,SUPRO,,,,,,,
MAHINDRA,T15-EXPRESS,,,,,,,
MAHINDRA,TORRO-25,,,,,,,
MAHINDRA,TORRO-31,,,,,,,
MAHINDRA,TRACO-35,,,,,,,
MAHINDRA,TRACO-40,,,,,,,
MAHINDRA,TRUXO,,,,,,,
MAHINDRA,TRUXO-25,,,,,,,
MAHINDRA,TRUXO-31,,,,,,,
MAHINDRA,TRUXO-37,,,,,,,
MAN,CLA-16.220,,,,,,,
MAN,CLA-25.180,,,,,,,
MAN,CLA-25.220,,,,,,,
MAN,CLA-25.280,,,,,,,
MAN,CLA-31.220,,,,,,,
MAN,CLA-31.280,,,,,,,
MAN,CLA-40.220,,,,,,,
MAN,CLA-40.280,,,,,,,
MAN,CLA-49.220,,,,,,,
MAN,CLA-49.280,,,,,,,
MERECEDES-BENZ,ACTROS,,,,,,,
PIAGGIO,APE-PORTER-1000,,,,,,,
PIAGGIO,APE-PORTER-600,,,,,,,
PIAGGIO,APE-XTRA-LD,,,,,,,
SCANIA,G310,,,,,,,
SCANIA,G410,,,,,,,
SCANIA,G460,,,,,,,
SCANIA,P360,,,,,,,
SCANIA,P410,,,,,,,
SCANIA,R500,,,,,,,
SCANIA,R580,,,,,,,
SWARAJ-MAZDA,COSMO,,,,,,,
SWARAJ-MAZDA,IS12T,,,,,,,
SWARAJ-MAZDA,PRESTIGE,,,,,,,
SWARAJ-MAZDA,SAMRAT,,,,,,,
SWARAJ-MAZDA,SARTAJ-HG72,,,,,,,
